,dataset,optimizer,seed,init,cfg,val_mse,test_mse,nfev,njev,n_linesearch,nit,wall_clock,stop_reason,t_max,kappa,eta,kappa_dim,expected_kappa_dim,search_budget,n_samples
0,Friedman2,Grid search,0,,,958.1896362304688,878.489501953125,2046,0,0.0,,2.2212700843811035,,2.2212700843811035,"[5.056234718826406, 5.056234718826406, 5.056234718826406, 4.863080684596577]",4.863080684596577,4,4,2048.0,1000.0
1,Friedman2,Adam,0,1.0,{'learning_rate': 0.1},722.8912353515625,,51,51,0.0,51.0,0.148270845413208,time_budget,2.2212700843811035,"[1.0, 3.2669150829315186, 2.5777313709259033, 1.0]",2.887167453765869,4,4,2048.0,1000.0
2,Friedman2,Adam,0,2.0,{'learning_rate': 0.1},1970.458740234375,,55,55,0.0,55.0,0.1505541801452636,time_budget,2.2212700843811035,"[23.425411224365234, 17.19680404663086, 15.580087661743164, 17.382387161254883]",14.528250694274902,4,4,2048.0,1000.0
3,Friedman2,Adam,0,3.0,{'learning_rate': 0.1},4345.1484375,,57,57,0.0,57.0,0.1491751670837402,time_budget,2.2212700843811035,"[35.87203598022461, 33.7294807434082, 35.6008186340332, 45.33354949951172]",34.0254020690918,4,4,2048.0,1000.0
4,Friedman2,Adam,0,4.0,{'learning_rate': 0.1},6236.55126953125,,55,55,0.0,55.0,0.1497449874877929,time_budget,2.2212700843811035,"[57.34897994995117, 62.37882995605469, 62.880516052246094, 64.25009155273438]",54.388450622558594,4,4,2048.0,1000.0
5,Friedman2,Adam,0,5.0,{'learning_rate': 0.1},9659.0595703125,,54,54,0.0,54.0,0.1489050388336181,time_budget,2.2212700843811035,"[79.81395721435547, 74.9642333984375, 78.1015853881836, 75.12077331542969]",74.92977905273438,4,4,2048.0,1000.0
6,Friedman2,Adam,0,1.0,{'learning_rate': 0.5},657.5733642578125,,54,54,0.0,54.0,0.1486520767211914,time_budget,2.2212700843811035,"[1.0, 6.140408515930176, 4.953316688537598, 1.0426037311553955]",5.414889335632324,4,4,2048.0,1000.0
7,Friedman2,Adam,0,2.0,{'learning_rate': 0.5},1277.592041015625,,54,54,0.0,54.0,0.1489670276641845,time_budget,2.2212700843811035,"[17.15226936340332, 13.43741226196289, 11.517154693603516, 1.0009613037109375]",5.042396068572998,4,4,2048.0,1000.0
8,Friedman2,Adam,0,3.0,{'learning_rate': 0.5},2491.60693359375,,54,54,0.0,54.0,0.1490800380706787,time_budget,2.2212700843811035,"[22.275604248046875, 19.94441795349121, 24.61197280883789, 43.2025032043457]",10.085570335388184,4,4,2048.0,1000.0
9,Friedman2,Adam,0,4.0,{'learning_rate': 0.5},5524.34619140625,,56,56,0.0,56.0,0.1500859260559082,time_budget,2.2212700843811035,"[45.33711242675781, 63.81868362426758, 64.140869140625, 68.87135314941406]",28.086158752441406,4,4,2048.0,1000.0
10,Friedman2,Adam,0,5.0,{'learning_rate': 0.5},6686.0986328125,,57,57,0.0,57.0,0.1500580310821533,time_budget,2.2212700843811035,"[67.63360595703125, 58.103004455566406, 76.21080017089844, 71.28401947021484]",52.85395431518555,4,4,2048.0,1000.0
11,Friedman2,Adam,0,1.0,{'learning_rate': 1.0},705.1138916015625,,54,54,0.0,54.0,0.149364948272705,time_budget,2.2212700843811035,"[1.0131829977035522, 8.368630409240723, 7.295811176300049, 1.379958987236023]",7.776997566223144,4,4,2048.0,1000.0
12,Friedman2,Adam,0,2.0,{'learning_rate': 1.0},616.340087890625,681.3999633789062,54,54,0.0,54.0,0.1489200592041015,time_budget,2.2212700843811035,"[1.0, 7.599908828735352, 7.066232204437256, 1.0]",2.9957804679870605,4,4,2048.0,1000.0
