M,d,quantity,fit_range,slope,lo,hi
10,3,Gradient,all,2.094618505530837,1.8624765985769596,2.326760412484714
10,3,Gradient,$N \geq 2500$,2.78162954585973,2.2341311462615923,3.3291279454578677
10,3,Hessian,all,2.14062777808374,2.0859277566563548,2.195327799511125
10,3,Hessian,$N \geq 2500$,2.1372907516253243,2.0233565384842107,2.251224964766438
10,8,Gradient,all,1.83485791209721,1.7227394119883355,1.9469764122060844
10,8,Gradient,$N \geq 1500$,1.9673091300757526,1.7609237776062248,2.1736944825452804
10,8,Hessian,all,2.217038641691258,2.0953562948266162,2.3387209885558997
10,8,Hessian,$N \geq 1500$,2.0468793130333465,1.7021760465039155,2.3915825795627774
10,20,Gradient,all,1.85375007256337,1.6565630573983705,2.0509370877283697
10,20,Gradient,$N \geq 1000$,1.9688960725915245,1.4452245510388266,2.4925675941442225
10,20,Hessian,all,2.4086373691451035,1.9422203601460573,2.8750543781441498
10,20,Hessian,$N \geq 1000$,2.6930562255500385,2.321477284163307,3.06463516693677
30,3,Gradient,all,1.6928393448132615,1.5372956881282722,1.8483830014982507
30,3,Gradient,$N \geq 1500$,1.8862061814332347,1.6505220315241693,2.1218903313423003
30,3,Hessian,all,2.0643474809932316,1.832883600105203,2.2958113618812606
30,3,Hessian,$N \geq 1500$,1.6945004359437104,0.9795829821677187,2.409417889719702
100,3,Gradient,all,1.313326212638811,0.6530494648554945,1.9736029604221275
100,3,Gradient,$N \geq 1000$,1.717583449843409,1.652510369114364,1.782656530572454
100,3,Hessian,all,1.9025153864133524,1.750602428604624,2.0544283442220808
100,3,Hessian,$N \geq 1000$,1.895719211198301,0.5579144263985316,3.2335239959980706
