M,d,N,grad_ms,grad_peak_mb,hess_ms
10,3,500,1.0336249833926558,23.493612,2.2218749800231308
10,3,1000,3.0929170025046915,89.651936,10.638583014952019
10,3,1500,6.578333006473258,199.104324,29.263292002724484
10,3,2000,10.631624987581745,352.251224,48.02591699990444
10,3,2500,17.559416010044515,549.198556,76.73408300615847
10,3,3000,24.857208016328514,789.391264,106.1895829916466
10,3,3500,33.914500003447756,925.38772,161.18049999931827
10,3,4000,40.95795899047516,1207.447872,198.78320800489746
10,3,4500,95.26987498975359,1701.427084,256.08566601295024
10,3,5000,116.11750000156462,2100.571164,317.9026250145398
10,3,5500,143.25079100672156,2541.707756,408.9076250093058
10,3,6000,166.18149998248555,3024.805612,502.2991670120973
30,3,500,1.2169579858891666,25.020436,2.827124990290031
30,3,1000,3.2921250094659626,93.14676,11.211958015337586
30,3,1500,6.815375003498048,204.242316,34.997165988897905
30,3,2000,11.13516598707065,359.348144,49.03475000173785
30,3,2500,17.70500000566244,557.784036,77.05641697975807
30,3,3000,24.94449997902848,799.723448,112.47087499941699
100,3,500,1.8556659924797714,31.649988,3.73429199680686
100,3,1000,3.5182919818907976,105.634408,13.781916000880301
100,3,1500,7.039207994239405,223.054188,31.55170800164342
100,3,2000,11.575167009141296,383.959952,50.917666987515986
10,8,500,2.4535419943276793,62.498624,12.584542011609301
10,8,1000,7.6923750166315585,238.497928,54.37525000888854
10,8,1500,16.760958009399474,530.318032,158.491000009235
10,8,2000,28.28241599490866,889.235256,271.96137499413453
10,8,2500,45.79970898339525,1204.790248,426.41774998628534
10,8,3000,64.79220898472704,1596.849432,662.1807079936843
10,20,500,5.382959003327414,95.869036,66.04137498652562
10,20,1000,17.885625013150275,364.540036,288.2953329826705
10,20,1500,40.67666700575501,790.677884,873.4807080181781
10,20,2000,69.8206250090152,1333.776284,1860.6498749868479
