eps,kappa0,eta0,loss,grad_kappa,grad_eta,opt_kappa,opt_eta,opt_loss
1e-16,1.0,1.0,250.8645477294922,-119.03604125976562,-266.6319885253906,80.0,8.430821351746529,0.2203386276960373
1e-16,5.0,5.0,11.8123140335083,2.677338123321533,-0.8117350339889526,80.0,8.430821351746529,0.2203386276960373
1e-16,10.0,10.0,7.941356182098389,-3.678659439086914,0.21858100593090057,80.0,8.430821351746529,0.2203386276960373
1e-15,1.0,1.0,250.8645477294922,-119.03604125976562,-266.6319885253906,80.0,8.430821351746529,0.2203386276960373
1e-15,5.0,5.0,11.8123140335083,2.677338123321533,-0.8117350339889526,80.0,8.430821351746529,0.2203386276960373
1e-15,10.0,10.0,7.941356182098389,-3.678659439086914,0.21858100593090057,80.0,8.430821351746529,0.2203386276960373
1e-14,1.0,1.0,250.8645477294922,-119.03604125976562,-266.6319885253906,80.0,8.417482038904085,0.22033821046352386
1e-14,5.0,5.0,11.8123140335083,2.677338123321533,-0.8117350339889526,80.0,8.417482038904085,0.22033821046352386
1e-14,10.0,10.0,7.941356182098389,-3.678659439086914,0.21858100593090057,80.0,8.417482038904085,0.22033821046352386
1e-13,1.0,1.0,250.8645477294922,-119.03604125976562,-266.6319885253906,80.0,8.43055431631961,0.2203388661146164
1e-13,5.0,5.0,11.8123140335083,2.6773383617401123,-0.8117350339889526,80.0,8.43055431631961,0.2203388661146164
1e-13,10.0,10.0,7.941356182098389,-3.678659439086914,0.21858100593090057,80.0,8.43055431631961,0.2203388661146164
1e-12,1.0,1.0,250.8645477294922,-119.03606414794922,-266.6319885253906,80.0,8.431408476792713,0.22033829987049103
1e-12,5.0,5.0,11.8123140335083,2.677337169647217,-0.8117350339889526,80.0,8.431408476792713,0.22033829987049103
1e-12,10.0,10.0,7.941356182098389,-3.678659439086914,0.21858100593090057,80.0,8.431408476792713,0.22033829987049103
1e-11,1.0,1.0,250.8645477294922,-119.03605651855469,-266.6319885253906,80.0,8.430242121571718,0.22033825516700745
1e-11,5.0,5.0,11.8123140335083,2.677337408065796,-0.8117350339889526,80.0,8.430242121571718,0.22033825516700745
1e-11,10.0,10.0,7.941356182098389,-3.6786582469940186,0.21858103573322296,80.0,8.430242121571718,0.22033825516700745
1e-10,1.0,1.0,250.8645477294922,-119.03604125976562,-266.6319885253906,80.0,8.431691983389445,0.2203385829925537
1e-10,5.0,5.0,11.8123140335083,2.677337408065796,-0.8117349743843079,80.0,8.431691983389445,0.2203385829925537
1e-10,10.0,10.0,7.941356182098389,-3.6786444187164307,0.218580961227417,80.0,8.431691983389445,0.2203385829925537
1e-09,1.0,1.0,250.8645477294922,-119.03604888916016,-266.63201904296875,80.0,8.430104451987408,0.22033803164958954
1e-09,5.0,5.0,11.812313079833984,2.6773433685302734,-0.8117350339889526,80.0,8.430104451987408,0.22033803164958954
1e-09,10.0,10.0,7.941355228424072,-3.6785006523132324,0.218580961227417,80.0,8.430104451987408,0.22033803164958954
1e-08,1.0,1.0,250.86460876464844,-119.03602600097656,-266.6319885253906,80.0,8.429716044852979,0.22033853828907013
1e-08,5.0,5.0,11.812315940856934,2.6773805618286133,-0.8117348551750183,80.0,8.429716044852979,0.22033853828907013
1e-08,10.0,10.0,7.941352844238281,-3.6770710945129395,0.21858057379722595,80.0,8.429716044852979,0.22033853828907013
1e-07,1.0,1.0,250.864990234375,-119.03619384765625,-266.6317138671875,80.0,8.430434734862109,0.2203388214111328
1e-07,5.0,5.0,11.812341690063477,2.677539110183716,-0.8117322325706482,80.0,8.430434734862109,0.2203388214111328
1e-07,10.0,10.0,7.941323280334473,-3.6633033752441406,0.21857711672782898,80.0,8.430434734862109,0.2203388214111328
1e-06,1.0,1.0,250.8679656982422,-119.03971862792969,-266.6296691894531,80.0,8.418253738489161,0.2203393280506134
1e-06,5.0,5.0,11.81253719329834,2.6787729263305664,-0.8117117285728455,80.0,8.418253738489161,0.2203393280506134
1e-06,10.0,10.0,7.9410600662231445,-3.5646018981933594,0.2185460478067398,80.0,8.418253738489161,0.2203393280506134
1e-05,1.0,1.0,250.8896026611328,-119.05108642578125,-266.61474609375,80.0,8.437662261524212,0.22034196555614471
1e-05,5.0,5.0,11.813949584960938,2.6895618438720703,-0.811590850353241,80.0,8.437662261524212,0.22034196555614471
1e-05,10.0,10.0,7.939256191253662,-3.3429720401763916,0.21833659708499908,80.0,8.437662261524212,0.22034196555614471
0.0001,1.0,1.0,251.03173828125,-119.12862396240234,-266.5220642089844,80.0,8.433329402385883,0.22035661339759827
0.0001,5.0,5.0,11.822535514831543,2.770735263824463,-0.8112875819206238,80.0,8.433329402385883,0.22035661339759827
0.0001,10.0,10.0,7.928882122039795,-3.373342514038086,0.21723033487796783,80.0,8.433329402385883,0.22035661339759827
